id,createdAt,updatedAt,Land_ID,State,District,Mandal,Village,Latitude,Land_Zone_Data,Soil_Type,Electricity,Approach_Road_Length,Longitude,Approach_Road_Type,Status,Fencing,Price_per_Acre,Water_Source_Data
57,Wed Oct 29 2025 16:12:55 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:12:55 GMT+0530 (India Standard Time),340,Telangana,Jayashankar Bhupalpalli,Mutharam Mahadevpur,Nimmagudem,18.6048708,1,black,0,20,80.0870155,kacha,active,0,0.11,"
"
58,Wed Oct 29 2025 16:13:02 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:13:02 GMT+0530 (India Standard Time),1061,Telangana,Rangareddy,Farooqnagar,Buchiguda,17.062599,1,black,1,0,78.249969,,active,0,1.55,"0.35294117647058826
"
59,Wed Oct 29 2025 16:13:10 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:13:10 GMT+0530 (India Standard Time),7776,Telangana,Nagarkurnool,Bijinapally,Bijinapalle,16.53906475,0,sandy,0,40,78.19862167,blacktop,active,0,8,"0
"
60,Wed Oct 29 2025 16:13:17 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:13:17 GMT+0530 (India Standard Time),3197,Telangana,Nagarkurnool,Bijinapally,Boyapur,16.507108,0,Red,0,40,78.210601,blacktop,active,0,0.6,"0.29411764705882354
"
61,Wed Oct 29 2025 16:13:24 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:13:24 GMT+0530 (India Standard Time),2305,Telangana,Vikarabad,Dharur,Dharur,17.3162556,0,Black,0,40,77.7715302,blacktop,active,0,0.9,"0
"
62,Wed Oct 29 2025 16:13:32 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:13:32 GMT+0530 (India Standard Time),2359,Telangana,Sangareddy,Nyalkal,Mamidgi,17.8048427,0,Red,1,0,77.5416085,,active,0,0.48,"0.6470588235294118
"
63,Wed Oct 29 2025 16:13:39 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:13:39 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,"
"
64,Wed Oct 29 2025 16:13:46 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:13:46 GMT+0530 (India Standard Time),9287,Telangana,Sangareddy,Hathnoor,Govindarajupalle,17.77571449,0,black,0,20,78.15655599,formation,active,0,0.85,"0
"
65,Wed Oct 29 2025 16:13:53 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:13:53 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,"
"
66,Wed Oct 29 2025 16:14:01 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:14:01 GMT+0530 (India Standard Time),8508,Telangana,Vikarabad,Marpalle,Peddapur,17.48455588,0,black,0,40,77.75419671,blacktop,active,0,0.8,"0
"
